Date,Adani Enterprises,BEL,BHEL,HCL,HUL,ITC,SPYL,Tata Steel,VUSA
2023-06-20,2414.800049,125.150002,87.949997,117.099998,2676.100098,452.850006,437.179993,114.25,74.489998
2023-06-21,2405.949951,122.800003,86.900002,115.800003,2676.600098,447.049988,434.940002,113.900002,74.0
2023-06-22,2397.25,123.449997,85.75,115.25,2654.350098,447.649994,436.51001,111.099998,74.129997
2023-06-23,2233.550049,120.050003,84.650002,114.050003,2641.600098,444.75,433.209991,109.599998,73.940002
2023-06-26,2295.600098,121.400002,83.800003,115.949997,2652.100098,445.700012,431.440002,109.849998,73.589996
2023-06-27,2284.449951,118.400002,84.349998,115.300003,2651.350098,445.100006,436.170013,110.75,73.690002
2023-06-28,2284.449951,118.400002,84.349998,115.300003,2651.350098,445.100006,436.390015,110.75,74.449997
2023-06-29,,,,,,,438.109985,,74.620003
2023-06-30,2388.050049,125.75,87.650002,116.050003,2678.149902,451.600006,443.279999,112.0,75.349998
2023-07-03,2385.5,123.75,88.300003,118.349998,2701.050049,463.25,443.790009,113.099998,75.68
2023-07-04,2387.699951,122.050003,86.900002,117.150002,2700.0,466.350006,,112.400002,75.559998
2023-07-05,2399.149902,121.75,92.949997,116.300003,2755.850098,475.100006,443.130005,112.949997,75.629997
2023-07-06,2402.899902,124.800003,93.099998,122.0,2757.100098,473.899994,439.660004,112.650002,74.730003
2023-07-07,2379.600098,124.050003,91.599998,119.5,2698.100098,468.399994,438.549988,111.599998,74.5
2023-07-10,2410.25,123.0,91.199997,118.0,2656.550049,465.850006,439.660004,115.300003,74.169998
2023-07-11,2422.899902,127.400002,93.949997,118.849998,2684.5,473.149994,442.459991,115.150002,73.839996
2023-07-12,2387.899902,127.650002,94.300003,119.550003,2673.649902,472.299988,446.019989,114.699997,73.760002
2023-07-13,2362.050049,125.5,91.800003,117.25,2654.699951,472.0,449.559998,114.849998,73.120003
2023-07-14,2376.100098,127.150002,92.099998,120.099998,2676.899902,472.899994,449.279999,117.150002,73.730003
2023-07-17,2408.550049,127.150002,93.0,122.599998,2681.699951,472.350006,450.839996,117.75,73.699997
2023-07-18,2416.899902,127.099998,94.849998,119.949997,2682.800049,472.5,454.190002,116.599998,73.800003
2023-07-19,2423.75,126.900002,94.949997,119.800003,2671.600098,478.850006,455.200012,116.699997,74.360001
2023-07-20,2419.75,126.0,95.75,119.699997,2703.25,492.149994,452.179993,116.949997,74.639999
2023-07-21,2416.300049,124.949997,94.5,119.949997,2604.0,490.450012,452.179993,116.599998,74.610001
2023-07-24,2418.199951,126.0,98.050003,118.150002,2580.25,471.350006,454.200012,115.5,74.870003
2023-07-25,2466.649902,127.050003,97.75,124.550003,2568.149902,462.299988,455.440002,119.25,74.910004
2023-07-26,2470.75,126.0,101.199997,126.150002,2583.300049,472.25,455.51001,119.949997,74.510002
2023-07-27,2428.399902,127.25,103.5,127.75,2569.850098,465.049988,452.48999,119.800003,75.449997
2023-07-28,2463.199951,130.149994,103.099998,127.849998,2584.600098,468.450012,456.920013,120.599998,75.5
2023-07-31,2492.199951,130.699997,104.050003,141.100006,2560.800049,465.700012,457.790009,123.150002,75.370003
2023-08-01,2481.100098,130.449997,104.699997,150.399994,2551.100098,464.799988,456.480011,123.199997,
2023-08-02,2473.550049,125.349998,100.550003,146.850006,2568.949951,460.100006,450.130005,118.949997,75.279999
2023-08-03,2532.600098,124.650002,100.75,151.149994,2551.300049,456.049988,448.839996,118.199997,74.709999
2023-08-04,2541.800049,127.599998,98.949997,154.0,2546.0,454.950012,446.809998,119.0,74.730003
2023-08-07,2550.5,128.550003,96.599998,148.699997,2569.199951,454.899994,450.709991,118.849998,74.620003
2023-08-08,2474.550049,129.149994,98.849998,146.75,2565.850098,452.350006,448.75,118.150002,74.230003
2023-08-09,2507.100098,131.699997,101.25,151.899994,2552.199951,458.649994,445.75,120.199997,74.43
